Date,Clicks,Impressions,CTR,Position
2026-05-26,0,0,,
2026-05-27,0,0,,
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,2,0%,5.5
2026-05-31,0,3,0%,4
2026-06-01,0,26,0%,30.2
2026-06-02,0,15,0%,12.5
2026-06-03,1,17,5.88%,13.4
2026-06-04,0,16,0%,11.2
2026-06-05,1,39,2.56%,27.1
2026-06-06,0,38,0%,24
2026-06-07,0,33,0%,18.3
2026-06-08,2,44,4.55%,19.1
2026-06-09,1,41,2.44%,18.9
2026-06-10,0,38,0%,14.5
2026-06-11,1,57,1.75%,23.6
2026-06-12,0,37,0%,27.6
2026-06-13,1,50,2%,27
2026-06-14,0,62,0%,40
2026-06-15,0,55,0%,20
2026-06-16,0,47,0%,24
2026-06-17,0,53,0%,19.9
2026-06-18,0,57,0%,28.4
2026-06-19,1,39,2.56%,29.8
2026-06-20,0,49,0%,23.9
2026-06-21,0,31,0%,13.8
2026-06-22,1,36,2.78%,19.7
2026-06-23,0,28,0%,18.9
2026-06-24,0,39,0%,25.7
2026-06-25,0,65,0%,12
2026-06-26,0,56,0%,15.7
2026-06-27,0,73,0%,14.1
2026-06-28,2,65,3.08%,13.6
2026-06-29,0,69,0%,12.4
2026-06-30,2,70,2.86%,14.9
2026-07-01,1,80,1.25%,11.1
2026-07-02,0,69,0%,12.5
2026-07-03,1,73,1.37%,10.9
2026-07-04,0,76,0%,12.5
2026-07-05,1,48,2.08%,14.8
2026-07-06,0,34,0%,13.6
2026-07-07,0,32,0%,17.7
2026-07-08,0,67,0%,9.4
2026-07-09,1,62,1.61%,11.3
2026-07-10,1,81,1.23%,14
2026-07-11,0,90,0%,16.7
2026-07-12,1,102,0.98%,12.1
2026-07-13,0,63,0%,12.8
2026-07-14,1,80,1.25%,11.8
2026-07-15,0,73,0%,11.8
2026-07-16,3,74,4.05%,11.5
2026-07-17,0,64,0%,13.4
2026-07-18,4,98,4.08%,12.8
2026-07-19,1,87,1.15%,10.4
2026-07-20,2,108,1.85%,13.8
2026-07-21,2,95,2.11%,13.1
2026-07-22,1,97,1.03%,9.4
2026-07-23,2,90,2.22%,9.1
2026-07-24,3,93,3.23%,13
2026-07-25,2,95,2.11%,9.7
2026-07-26,0,107,0%,10.2
2026-07-27,0,119,0%,9.7
2026-07-28,1,161,0.62%,10.6
2026-07-29,1,138,0.72%,9.3
2026-07-30,1,128,0.78%,10
2026-07-31,3,277,1.08%,9.6
2026-08-01,3,810,0.37%,8.6
2026-08-02,0,816,0%,9.1
