Country,Clicks,Impressions,CTR,Position
Egypt,10,261,3.83%,8.11
Saudi Arabia,3,219,1.37%,11.02
Iraq,3,101,2.97%,9.69
Morocco,3,69,4.35%,10.74
Jordan,3,57,5.26%,11.46
Yemen,3,39,7.69%,7.92
Germany,2,417,0.48%,7.91
United Arab Emirates,2,132,1.52%,16.7
Syria,2,116,1.72%,7.78
Algeria,2,86,2.33%,12.74
Indonesia,2,53,3.77%,12.13
Thailand,2,28,7.14%,19.39
United States,1,1466,0.07%,14.06
Nigeria,1,61,1.64%,9.84
France,1,42,2.38%,14.76
Turkey,1,35,2.86%,19.31
Oman,1,28,3.57%,9.64
Tunisia,1,18,5.56%,15.72
Afghanistan,1,14,7.14%,14.5
Palestine,1,8,12.5%,5.62
Côte d’Ivoire,1,7,14.29%,7.71
Japan,1,5,20%,29.6
Tanzania,1,4,25%,8.75
Djibouti,1,3,33.33%,8.33
Netherlands,0,793,0%,8.3
United Kingdom,0,567,0%,13.69
Italy,0,136,0%,12.54
India,0,123,0%,18.84
Canada,0,75,0%,39.77
Pakistan,0,70,0%,19.19
Malaysia,0,69,0%,25.62
Hong Kong,0,46,0%,8.72
Bangladesh,0,41,0%,17.07
Australia,0,36,0%,29.75
Qatar,0,32,0%,16.56
Ethiopia,0,28,0%,7.21
Sudan,0,28,0%,8.36
Vietnam,0,28,0%,24.93
Bahrain,0,21,0%,16.95
Austria,0,20,0%,7.8
Libya,0,20,0%,15.45
Singapore,0,20,0%,26.25
Lebanon,0,19,0%,9.16
Russia,0,18,0%,13.83
Iran,0,17,0%,7.65
Israel,0,16,0%,8
Sweden,0,16,0%,17.88
Uzbekistan,0,15,0%,9.47
Denmark,0,15,0%,25.53
Somalia,0,13,0%,6.62
Poland,0,12,0%,7.5
Kuwait,0,12,0%,9.42
China,0,12,0%,12.33
Philippines,0,12,0%,20.75
Tajikistan,0,11,0%,9.91
Azerbaijan,0,11,0%,16.91
South Africa,0,11,0%,21.45
Senegal,0,10,0%,11.1
Uganda,0,10,0%,16.4
Belgium,0,9,0%,7.56
Cameroon,0,9,0%,9
Ireland,0,9,0%,35.44
Ghana,0,8,0%,7.25
Kenya,0,8,0%,7.25
Niger,0,8,0%,8.25
Mexico,0,8,0%,26.38
Spain,0,8,0%,28.88
Norway,0,7,0%,27.71
Switzerland,0,6,0%,6.67
Brazil,0,6,0%,23.33
Maldives,0,5,0%,5.4
Mali,0,5,0%,8.2
New Zealand,0,5,0%,39.4
Guinea,0,4,0%,7.75
Mauritania,0,4,0%,8.25
South Korea,0,4,0%,13
Georgia,0,4,0%,22.25
Sri Lanka,0,3,0%,3.33
South Sudan,0,3,0%,6.67
Finland,0,3,0%,7
Greece,0,3,0%,7.67
Kazakhstan,0,3,0%,9.33
Portugal,0,3,0%,9.67
Ukraine,0,3,0%,31.33
Bulgaria,0,2,0%,7.5
Chad,0,2,0%,7.5
Congo - Kinshasa,0,2,0%,8.5
Romania,0,2,0%,8.5
Burkina Faso,0,2,0%,9
Brunei,0,2,0%,9
Albania,0,2,0%,9.5
Malta,0,2,0%,11
Colombia,0,2,0%,20
Argentina,0,2,0%,28
Angola,0,1,0%,1
Malawi,0,1,0%,2
Taiwan,0,1,0%,3
Bosnia & Herzegovina,0,1,0%,6
Turkmenistan,0,1,0%,6
Kosovo,0,1,0%,6
Dominican Republic,0,1,0%,7
Jamaica,0,1,0%,7
Rwanda,0,1,0%,7
Mauritius,0,1,0%,8
Gambia,0,1,0%,9
Zimbabwe,0,1,0%,9
Comoros,0,1,0%,10
Estonia,0,1,0%,10
Gabon,0,1,0%,10
Slovakia,0,1,0%,10
Bahamas,0,1,0%,11
Croatia,0,1,0%,11
Paraguay,0,1,0%,11
Togo,0,1,0%,11
Bolivia,0,1,0%,12
Equatorial Guinea,0,1,0%,12
Panama,0,1,0%,12
Central African Republic,0,1,0%,22
Costa Rica,0,1,0%,23
Ecuador,0,1,0%,30
Hungary,0,1,0%,31
